SOA2001,NIIMDRank
95AA01S1,516
95AA01S2,749
95AA01S3,658
95AA02W1,439
95AA03W1,259
95AA04W1,594
95AA05W1,613
95AA06S1,574
95AA06S2,565
95AA07W1,569
95AA08W1,178
95AA09W1,330
95AA10W1,285
95AA11S1,670
95AA11S2,801
95AA12W1,706
95AA13S1,643
95AA13S2,676
95AA14W1,604
95AA15S1,623
95AA15S2,247
95AA16W1,308
95AA17W1,420
95AA18W1,758
95AA19W1,437
95BB01S1,744
95BB01S2,701
95BB02W1,240
95BB03S1,223
95BB03S2,374
95BB04S1,467
95BB04S2,743
95BB05S1,506
95BB05S2,548
95BB06W1,99
95BB07S1,325
95BB07S2,696
95BB08S1,303
95BB08S2,741
95BB09S1,704
95BB09S2,795
95BB10S1,508
95BB10S2,750
95BB11S1,199
95BB11S2,597
95BB12S1,97
95BB12S2,683
95BB13S1,339
95BB13S2,345
95BB13S3,721
95BB14S1,564
95BB14S2,719
95BB15S1,448
95BB15S2,263
95BB16S1,770
95BB16S2,698
95BB17S1,501
95BB17S2,524
95BB18S1,306
95BB18S2,635
95BB19S1,528
95BB19S2,765
95BB19S3,850
95BB20S1,402
95BB20S2,219
95BB21S1,225
95BB21S2,472
95BB22S1,231
95BB22S2,71
95BB23S1,803
95BB23S2,828
95CC01W1,424
95CC02W1,498
95CC03W1,61
95CC04W1,273
95CC05W1,403
95CC06S1,718
95CC06S2,521
95CC07W1,212
95CC08W1,288
95CC09S1,657
95CC09S2,651
95CC10W1,680
95CC11W1,125
95CC12W1,443
95CC13W1,432
95CC14W1,588
95CC15W1,505
95CC16W1,310
95CC17W1,600
95CC18W1,426
95CC19W1,294
95CC20S1,786
95CC20S2,637
95CC21W1,353
95CC22W1,269
95DD01W1,681
95DD02S1,598
95DD02S2,778
95DD03W1,817
95DD04W1,85
95DD05W1,110
95DD06W1,874
95DD07S1,691
95DD07S2,717
95DD08W1,183
95DD09W1,590
95DD10W1,538
95DD11W1,154
95DD12W1,591
95DD13W1,222
95DD14S1,794
95DD14S2,869
95DD15W1,679
95DD16W1,642
95DD17W1,648
95DD18W1,228
95DD19S1,518
95DD19S2,692
95DD20W1,91
95DD21W1,537
95DD22S1,596
95DD22S2,342
95DD23W1,484
95DD24W1,734
95EE01W1,387
95EE02W1,382
95EE03W1,302
95EE04W1,483
95EE05W1,349
95EE06W1,581
95EE07W1,488
95EE08W1,677
95EE09W1,546
95EE10W1,566
95EE11W1,575
95EE12W1,204
95EE13W1,197
95EE14W1,533
95EE15W1,552
95EE16W1,444
95FF01S1,806
95FF01S2,805
95FF02W1,233
95FF03W1,430
95FF04W1,411
95FF05W1,502
95FF06S1,785
95FF06S2,797
95FF07W1,224
95FF08W1,503
95FF09W1,347
95FF10W1,520
95FF11W1,449
95FF12W1,496
95FF13W1,485
95FF14W1,639
95FF15W1,328
95FF16W1,672
95FF17W1,120
95GG01S1,388
95GG01S2,198
95GG01S3,320
95GG02S1,16
95GG02S2,4
95GG02S3,9
95GG03S1,811
95GG03S2,823
95GG03S3,601
95GG04S1,95
95GG04S2,78
95GG04S3,40
95GG05S1,579
95GG05S2,652
95GG05S3,270
95GG06S1,109
95GG06S2,268
95GG06S3,433
95GG07S1,121
95GG07S2,66
95GG07S3,181
95GG08S1,570
95GG08S2,123
95GG08S3,315
95GG09S1,890
95GG09S2,747
95GG09S3,401
95GG10S1,58
95GG10S2,102
95GG11S1,139
95GG11S2,656
95GG11S3,215
95GG12S1,580
95GG12S2,457
95GG12S3,481
95GG12S4,189
95GG12S5,79
95GG13S1,119
95GG13S2,711
95GG13S3,463
95GG14S1,819
95GG14S2,736
95GG14S3,848
95GG15S1,873
95GG15S2,885
95GG15S3,640
95GG16S1,122
95GG16S2,377
95GG16S3,559
95GG17S1,98
95GG17S2,515
95GG17S3,150
95GG18S1,50
95GG18S2,55
95GG19S1,24
95GG19S2,21
95GG20S1,49
95GG20S2,53
95GG21S1,41
95GG21S2,30
95GG21S3,29
95GG22S1,297
95GG22S2,393
95GG22S3,338
95GG23S1,856
95GG23S2,854
95GG23S3,859
95GG24S1,685
95GG24S2,298
95GG24S3,611
95GG25S1,185
95GG25S2,267
95GG25S3,158
95GG26S1,87
95GG26S2,136
95GG27S1,391
95GG27S2,131
95GG27S3,162
95GG27S4,116
95GG28S1,522
95GG28S2,343
95GG28S3,60
95GG29S1,140
95GG29S2,350
95GG30S1,384
95GG30S2,882
95GG30S3,841
95GG31S1,763
95GG31S2,368
95GG31S3,76
95GG32S1,161
95GG32S2,88
95GG32S3,386
95GG33S1,849
95GG33S2,875
95GG33S3,773
95GG34S1,256
95GG34S2,757
95GG34S3,820
95GG35S1,25
95GG35S2,7
95GG35S3,32
95GG36S1,667
95GG36S2,834
95GG36S3,813
95GG37S1,833
95GG37S2,668
95GG37S3,730
95GG38S1,846
95GG38S2,707
95GG38S3,881
95GG39S1,163
95GG39S2,146
95GG39S3,67
95GG40S1,28
95GG40S2,18
95GG41S1,866
95GG41S2,889
95GG41S3,876
95GG42S1,887
95GG42S2,888
95GG42S3,832
95GG42S4,879
95GG43S1,318
95GG43S2,627
95GG43S3,456
95GG44S1,80
95GG44S2,64
95GG45S1,843
95GG45S2,159
95GG45S3,720
95GG46S1,82
95GG46S2,77
95GG46S3,48
95GG47S1,15
95GG47S2,2
95GG47S3,56
95GG48S1,74
95GG48S2,23
95GG48S3,35
95GG49S1,822
